"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W851162X9C,215,108,1,174,4,1,4,3
85001W8513HAWX4,277,278,4,87,4,4,3,2
85001W8513KA8EW,389,196,3,112,2,1,3,4
85001W8513UN24Z,514,258,4,500,2,4,3,4
85001W8514M3FY6,745,372,4,224,3,1,3,5
85001W8515UCEPN,649,326,2,112,4,1,3,5
85001W8515XBA4U,228,115,3,87,3,4,4,3
85001W851828VEX,169,85,2,44,3,2,2,3
85001W8518CVFGP,198,99,4,34,3,1,4,3
85001W8518CYCP7,98,49,3,67,2,4,2,3
85001W85192EE8W,354,178,4,54,1,4,1,3
85001W8519P2T9N,246,245,4,137,2,2,4,2
85001W851BBATYU,366,61,3,299,3,1,3,3
85001W851BKJRXA,96,47,4,137,1,4,4,3
85001W851C38KYE,1251,419,4,4,1,4,3,5
85001W851CBS2MT,197,66,2,14,2,1,3,3
85001W851CZ67B7,678,225,3,224,2,1,4,5
85001W851D8V6T3,163,82,3,112,2,4,4,3
85001W851E23AZB,167,84,1,34,4,1,3,3
85001W851E2N8PP,472,237,2,137,1,1,4,4
85001W851FFCH83,221,111,4,424,3,1,3,1
85001W851FJMXQR,246,82,4,112,4,4,3,3
85001W851FK33CS,143,143,1,54,4,1,3,3
85001W851H2491T,102,50,2,87,2,4,4,3
85001W851HKU6VT,145,36,2,299,2,1,2,4
85001W851HTCTEW,95,95,3,44,3,2,1,5
85001W851J1CGX3,2877,1435,4,112,1,4,4,1
85001W851KJTJJD,123,62,2,87,3,4,3,1
85001W851MCVYYQ,70,36,2,14,2,1,3,4
85001W851MTTMDM,1204,600,3,112,2,1,3,5
85001W851P1ECQR,102,102,1,137,3,1,3,2
85001W851QDKYF8,153,77,2,54,2,4,3,4
85001W851TQ9QYS,972,325,1,112,4,1,4,4
85001W851VD54UM,162,81,3,87,4,2,3,4
85001W851VMJE66,150,75,2,24,2,4,3,1
85001W851WEKJ49,223,113,3,224,4,4,3,1
85001W851X1F83M,685,345,2,34,2,4,2,1
85001W851XXHPZ7,260,130,3,424,4,4,3,5
85001W851XYDUJ9,136,68,3,137,2,1,3,3
85001W851ZF84J6,1327,662,2,424,2,1,2,5
85001W85246NE75,1092,272,2,87,3,4,3,2
85001W852514M1H,84,28,3,299,3,1,2,3
85001W8526XGPQE,2877,1435,4,24,3,4,4,1
85001W85297A2HG,414,207,3,174,2,2,3,5
85001W8529HJ7H6,242,121,2,112,4,1,3,4
85001W852ADZZW8,144,47,3,4,2,4,4,3
