"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4.000000,C4.000000,X16601,C3.000000,C3.000000,X16602,C2.000000,C2.000000,X16599,C1.000000,C1.000000)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4.000000,C4.000000,X91589417,C3.000000,C3.000000,X91590927,C2.000000,C2.000000,X91588007,C1.000000,C1.000000)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.500000,C2.500000,X14834,C1.000000,C1.000000,X14835,C4.000000,C4.000000)}","I am perfectly happy with my standard of living {sumax(X91583243,C4.000000,X91591993,C3.000000,X91592876,C2.000000,X91586625,C1.000000)}","Very Conservative {X61206}","Somewhat Conservative {X61209}","Middle of the Road {X61208}","Somewhat Liberal {X61210}","Very Liberal {X61207}"
87001W87117QD6G,97,49,4,54,3,1,3,0,0,1,0,0
87001W8713MQXDT,167,165,4,137,4,1,3,0,0,0,0,1
87001W87147MKM3,288,144,3,500,3,1,3,0,0,1,0,0
87001W8715QVA35,267,134,4,34,4,2,2,0,0,0,1,0
87001W8715Y1JGR,70,35,3,87,3,1,2,0,0,0,0,1
87001W8717Q5JWD,239,79,4,54,4,2,2,0,0,1,0,0
87001W871947B3Q,1156,576,4,44,4,1,4,1,0,0,0,0
87001W8719BEYDA,1226,408,4,174,4,2,2,0,0,1,0,0
87001W8719KQNKH,374,187,4,174,3,2,4,0,0,0,0,1
87001W871ASPNWK,313,155,4,67,3,1,3,0,0,1,0,0
87001W871B2FCSP,157,155,3,137,3,2,3,0,1,0,0,0
87001W871BWSR82,802,790,4,34,3,1,4,0,1,0,0,0
87001W871E2TUC5,70,70,3,34,3,1,1,0,0,1,0,0
87001W871EBFTEM,526,132,4,112,4,1,3,0,0,0,0,1
87001W871F5ZHHT,283,94,4,67,4,1,3,0,0,1,0,0
87001W871FSKUYD,105,53,3,424,4,2,2,0,0,0,0,1
87001W871FVGW3M,233,117,3,299,3,2,4,0,0,1,0,0
87001W871J4BPDN,84,84,4,87,4,1,2,0,0,1,0,0
